genres,director,cast,vote_average,keywords,production_countries,budget,popularity
['Drama'],['Sidney Lumet'],"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Henry Fonda', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'James Kelly', 'Billy Nelson', 'John Savoca', 'Walter Stocker']",8.5,"['judge', 'jurors', 'sultriness', 'death penalty', 'father murder', 'puerto rico', 'anonymity', 'court case', 'heat', 'class', 'innocence', 'court', 'based on play or musical', 'black and white', 'courtroom', 'courtroom drama']",['United States of America'],350000,22.528
"['Science Fiction', 'Mystery', 'Adventure']",['Stanley Kubrick'],"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Douglas Rain', 'Daniel Richter', 'Leonard Rossiter', 'Margaret Tyzack', 'Robert Beatty', 'Sean Sullivan', 'Frank Miller', 'Ed Bishop', 'Edwina Carroll', 'Heather Downham', 'Penny Brahms', ""Maggie d'Abo"", 'Chela Matthison', 'Judy Kiern', 'Alan Gifford', 'Ann Gillis', 'Vivian Kubrick', 'Kenneth Kendall', 'Kevin Scott', 'Martin Amor', 'Bill Weston', 'Glenn Beck', 'Mike Lovell', 'John Ashley', 'Jimmy Bell', 'David Charkham', 'Simon Davis', 'Jonathan Daw', 'Péter Delmár', 'Terry Duggan', 'David Fleetwood', 'Danny Grover', 'Brian Hawley', 'David Hines', 'Tony Jackson', 'John Jordan', 'Scott MacKee', 'Laurence Marchant', 'Darryl Paes', 'Joe Refalo', 'Andy Wallace', 'Bob Wilyman', 'Richard Woods', 'S. Newton Anderson', 'Sheraton Blount', 'Ann Bormann', 'Julie Croft', 'Penny Francis', 'Marcella Markham', 'Irena Marr', 'Krystyna Marr', 'Kim Neil', 'Jane Pearl', 'Penny Pearl', 'Burnell Tucker', 'John Swindells', 'John Clifford']",8.1,"['moon', 'jupiter', 'artificial intelligence', 'man vs machine', 'technology', 'super computer', 'space travel', 'space mission', 'moon base', 'astronaut', 'cult film', 'evolution', 'monolith', 'space station', 'space opera', '2000s']","['United Kingdom', 'United States of America']",12000000,26.907
"['Drama', 'Comedy']",['Rajkumar Hirani'],"['Aamir Khan', 'R. Madhavan', 'Sharman Joshi', 'Kareena Kapoor Khan', 'Boman Irani', 'Omi Vaidya', 'Ali Fazal', 'Mona Singh', 'Javed Jaffrey', 'Parikshat Sahni', 'Amardeep Jha', 'Jayant Kripalani', 'Arun Bali', 'Achyut Potdar', 'Aakash Dabhade', 'Akhil Mishra', 'Atul Tiwari', 'Rakesh Sharma', 'Pitobash Tripathy', 'Pooja Goswami', 'R.S. Kodange', 'Annapurna Kaul', 'Dharmendra Bhurji', 'Harvinder Singh', 'Rahul Kumar', 'Mukund Bhatt', 'Chaitali Bose', 'Olivier Lafont', 'Meghna Bhalla', 'Praful Kulkarni', 'Bharat Jha', 'Komal Jha', 'Rohitash Gaud', 'Freny Bhagat', 'Jigmet Dorjey', 'Tsanwal Namgyal', 'Malvika Singh', 'Supriya Shukla', 'Pundit Prayag Raj', 'Sitaram Sharma', 'Saurabh Agnihotri', 'Nishi Singh', 'Suhas Vaidya', 'Lata Kurdikar', 'Keshav Rae', 'Insia Lacewalla', 'Kishor Patil', 'Shankar Sachdev', 'Farida Dadi', 'Shoaib Ahmed', 'Dushyant Wagh', 'A.S. Duggal', 'Dilshad Edibam', 'Rajeev Ravindranathan', 'Hitesh Tak', 'Rajendra Patwardhan', 'Madhav Vaze', 'Dileep Desai', 'Raghunathan', 'Vaidyanathan', 'Kumar Veer Singh', 'Shailja Dhar', 'Dinesh Kumar', 'Apul Jaisinghani', 'Trilok Sadhwani', 'Sonu', 'Jalil Parkar', 'Debashish Naha', 'Michael Joseph', 'Smriti', 'Sanjay Sood', 'Dayal Sharma', 'Elihud George', 'Sarvanna', 'Tanveer Ahmed']",8.0,"['suicide', 'suicide attempt', 'college', 'musical', 'slapstick', 'friends', 'engineering', 'coming of age', 'subjective camera']",['India'],9000000,45.113
"['Drama', 'Romance']",['Ron Howard'],"['Russell Crowe', 'Jennifer Connelly', 'Ed Harris', 'Paul Bettany', 'Christopher Plummer', 'Josh Lucas', 'Adam Goldberg', 'Anthony Rapp', 'Judd Hirsch', 'Jason Gray-Stanford', 'Austin Pendleton', 'Vivien Cardone', 'Jillie Simon', 'Victor Steinbach', 'Tanya Clarke', 'Thomas F. Walsh', 'Jesse Doran', 'Kent Cassella', 'Patrick Blindauer', 'John Blaylock', 'Roy Thinnes', 'Anthony Easton', 'Cheryl Howard', 'Josh Pais', 'David B. Allen', 'Michael Esper', 'Erik Van Wyck', 'Rance Howard', 'Jane Jenkins', 'Darius Stone', 'Valentina Cardinalli', 'Teagle F. Bougere', 'Amy Walz', 'Tracey Toomey', 'Jennifer Weedon', 'Yvonne Thomas', 'Holly Pitrago', 'Isadore Rosenfeld', 'Alex Toma', 'Robert Myers', 'Bryce Dallas Howard']",7.8,"['individual', 'schizophrenia', 'massachusetts', ""love of one's life"", 'intelligence', 'mathematician', 'market economy', 'economic theory', 'princeton university', 'nobel prize', 'mathematical theorem', 'm.i.t.', 'biography', 'mathematics', 'delusion']",['United States of America'],60000000,22.24
"['Science Fiction', 'Drama']",['Stanley Kubrick'],"['Malcolm McDowell', 'Patrick Magee', 'Adrienne Corri', 'Michael Bates', 'Warren Clarke', 'James Marcus', 'Michael Tarn', 'Carl Duering', 'Paul Farrell', 'Miriam Karlin', 'Sheila Raynor', 'Aubrey Morris', 'Godfrey Quigley', 'Clive Francis', 'Richard Connaught', 'Pauline Taylor', 'Philip Stone', 'David Prowse', 'Michael Gover', 'Anthony Sharp', 'Margaret Tyzack', 'Gillian Hills', 'Carol Drinkwater', 'Virginia Wetherell', 'Katya Wyeth', 'George Coulouris', 'Pat Roach', 'Steven Berkoff', 'Lindsay Campbell', 'John J. Carney', 'Vivienne Chandler', 'Prudence Drage', 'Lee Fox', 'Cheryl Grunwald', 'Craig Hunter', 'Barrie Cookson', 'Jan Adair', 'Shirley Jaffe']",8.2,"['london, england', 'street gang', 'robbery', 'sexuality', 'based on novel or book', 'parent child relationship', 'great britain', 'nihilism', 'social worker', 'society', 'dystopia', 'psychopath', 'satire', 'juvenile delinquent', 'cult film', 'sex crime', 'futuristic society', 'teenage protagonist']","['United Kingdom', 'United States of America']",2200000,28.857
['Drama'],['Elia Kazan'],"['Vivien Leigh', 'Marlon Brando', 'Kim Hunter', 'Karl Malden', 'Rudy Bond', 'Nick Dennis', 'Peg Hillias', 'Wright King', 'Richard Garrick', 'Ann Dere', 'Edna Thomas', 'Mickey Kuhn', 'Mel Archer', 'Walter Bacon', 'Dahn Ben Amotz', 'Marietta Canty', 'John George', 'John Gonetos', 'Chester Jones', 'Lyle Latell', 'Joe Brooks', 'Mike Morelli', ""William H. O'Brien"", 'Maxie Thrower', 'Charles Wagenheim', 'John B. Williams', 'Buck Woods']",7.7,"['sibling relationship', 'southern usa', 'rape', 'loss of sense of reality', 'brother-in-law', 'violent husband', 'new orleans, louisiana', 'family relationships', 'middle aged woman', 'black and white', 'light bulb', 'expectant father', 'sister sister relationship']",['United States of America'],1800000,11.035
"['Horror', 'Science Fiction']",['Ridley Scott'],"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright', 'Harry Dean Stanton', 'Ian Holm', 'Yaphet Kotto', 'Bolaji Badejo', 'Helen Horton']",8.1,"['android', 'spacecraft', 'countdown', 'space marine', 'space suit', 'beheading', 'space travel', 'dystopia', 'biology', 'cowardice', 'space', 'alien', 'female protagonist', 'cult film', 'parasite', 'space opera', 'cosmos', 'xenomorph']","['United States of America', 'United Kingdom']",11000000,40.359
['Drama'],['Joseph L. Mankiewicz'],"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm', 'Gary Merrill', 'Hugh Marlowe', 'Gregory Ratoff', 'Thelma Ritter', 'Marilyn Monroe', 'Barbara Bates', 'Walter Hampden', 'Randy Stuart', 'Craig Hill', 'Leland Harris', 'Barbara White', 'William Pullen', 'Claude Stroud', 'Eugene Borden', 'Helen Mowery', 'Steven Geray', 'Bess Flowers', 'Colin Kenny', 'Harold Miller', 'Frank Baker', 'Franklyn Farnum', ""William H. O'Brien""]",8.2,"['playwright', 'hollywood', 'black and white', 'relationship', 'insecurity', 'broadway', 'based on short story', 'broadway star', 'stage struck']",['United States of America'],1400000,9.59
"['Drama', 'War']",['Lewis Milestone'],"['Louis Wolheim', 'Lew Ayres', 'John Wray', 'Arnold Lucy', 'Ben Alexander', 'Scott Kolk', 'Owen Davis Jr.', 'Walter Rogers', 'William Bakewell', 'Russell Gleason', 'Richard Alexander', 'Harold Goodwin', 'Slim Summerville', 'G. Pat Collins', 'Beryl Mercer', 'Edmund Breese', 'Ernie Adams', 'Marion Clayton Anderson', 'Poupée Andriot', 'Vince Barnett', 'Daisy Belmore', 'Glen Boles', 'Heinie Conklin', ""Yola d'Avril"", 'Renée Damonde', 'Arthur Gardner', 'Raymond Griffith', 'Ellen Hall', 'William Irving', 'Frederick Kohner', 'Frank Leichtfried', 'Tom London', 'Bertha Mann', 'Joan Marsh', 'Edwin Maxwell', 'Jack McHugh', 'Maurice Murphy', 'Robert Parrish', 'Bodil Rosing', 'Wolfgang Staudte', 'Jack Sutherland', 'David Tyrell', 'Dorothy Vernon', 'Fred Zinnemann']",7.8,"['germany', 'disillusion', 'patriotism', 'world war i', 'friendship', 'army', 'boot camp', 'battlefield', 'steel helmet', 'atrocity', 'black and white', 'soldier', 'combat', 'warfare', 'death', 'pre-code', 'anti war', 'mud', 'trenches', 'young soldier', 'battlefield trauma']",['United States of America'],1448864,9.626
"['History', 'Music', 'Drama']",['Miloš Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice', 'Simon Callow', 'Christine Ebersole', 'Jeffrey Jones', 'Barbara Bryne', 'Cynthia Nixon', 'Douglas Seale', 'Charles Kay', 'Kenny Baker', 'Martin Cavina', 'Roderick Cook', 'Milan Demjanenko', 'Peter DiGesu', 'Patrick Hines', 'Nicholas Kepros', 'Philip Lenkowsky', 'Lisbeth Bartlett', 'Richard Frank', 'Herman Meckler', 'Jonathan Moore', 'Brian Pettifer', 'Vincent Schiavelli', 'John Strauss', 'Karl-Heinz Teuber', 'Miro Grisa', 'Karel Gult', 'Ladislav Krečmer', 'Karel Fiala', 'John Carrafa', 'Hana Brejchová', 'Miriam Chytilová', 'Karel Effa', 'René Gabzdyl', 'Karel Hábl', 'Jiří Krytinář', 'Jan Kuželka', 'Jiří Lír', 'Jitka Molavcová', 'Pavel Nový', 'Jan Pohan', 'Tereza Pokorná-Herzová', 'Ivan Pokorný', 'Milan Riehs', 'Dana Vávrová', 'June Anderson', 'Isobel Buchanan', 'Anne Howells', 'Robin Leggate', 'Felicity Lott', 'Alexander Oliver', 'Samuel Ramey', 'Richard Stilwell', 'John Tomlinson', 'Willard White', 'Michele Esposito', 'Zdeněk Mahler', 'Vladimír Svitáček', 'Jana Musilová', 'Kenneth McMillan', 'Cassie Stuart', 'Rita Zohar']",8.0,"['italy', 'austria', 'composer', 'opera', 'talent', 'emperor', 'musician', 'marriage crisis', 'mozart', 'god', 'murder', 'vienna, austria', 'envy', '18th century']",['United States of America'],18000000,20.345
